written,how,became,reason,menus
sarso saag,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
sauce,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iit-dharwad__central-mess
savai,by rule,kheer,a milk pudding,gniot-greater-noida__hostel
seasonable green vegetable,by rule,mix_veg,a vegetable dish: mix veg stands in,sliet-longowal__hostel-mess
seasonable green vegetable sweet dish fruit custard,by hand,mix_veg; fruit_custard,,sliet-longowal__hostel-mess
seasonable green vegetable sweet dish gulab jamun,by hand,mix_veg; gulab_jamun,,sliet-longowal__hostel-mess
seasonal vegetables,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-11
semiya,by rule,kheer,a milk pudding,sns-college-of-engineering__hostel-mess
sev bhaji,by hand,ratlami_sev,,iit-bombay__hostel-3 vnit-nagpur__aaswad-mess
seviyan,by rule,kheer,a milk pudding,iit-kanpur__hall-2
sewai ki khi non veg,by hand,kheer,,iit-kanpur__hall-8
shahi paneer paneer 50gms,by rule,paneer_butter_masala,a rich paneer gravy,sliet-longowal__hostel-mess
shahi paner,by rule,mutter_paneer,a paneer dish: mutter paneer stands in,iit-kanpur__hall-8
shahi tukda,by hand,gulab_jamun,,iit-delhi__jwalamukhi-hostel
sheera,by rule,moong_halwa,a halwa,iit-bombay__hostel-3
sheva,by hand,kheer,,iit-madras__ccw-veg-menu
slice butter,by rule,amul_butter,butter or ghee,iit-kanpur__hall-11
small bagen masala,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel
snack item,by hand,(not counted),,iit-madras__ccw-veg-menu
snacks,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",iit-delhi__jwalamukhi-hostel
soozi halwa,by rule,moong_halwa,a halwa,iit-kanpur__hall-2
soup paner chili 4 pcs dry soya masala chapati,by rule,roti,a flatbread,iit-dharwad__central-mess
soy milk,by rule,milk_glass,a milk drink: a glass of milk,iiser-bhopal__dining-hall-3
soya bean,by rule,soya_badi,soya chunks,vnit-nagpur__aaswad-mess
soya bean masala,by rule,soya_badi,soya chunks,iit-bombay__hostel-3
soya keema,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",gniot-greater-noida__hostel
soyabean matar sabji,by rule,soya_badi,soya chunks,gniot-greater-noida__hostel
soyabeen biriyani,by rule,veg_biryani,a vegetable biryani,iit-kanpur__hall-11
soyabeen mutter semi gravy,by rule,soya_badi,soya chunks,iit-kanpur__hall-2
soyamilk,by hand,milk_glass,,iiser-bhopal__dining-hall-3
spcl,by hand,(not counted),,iit-kanpur__hall-8
spinach kuzhambu,by rule,rasam,a thin tamarind or pepper gravy,sns-college-of-engineering__hostel-mess
spoon peanut butter,by rule,amul_butter,butter or ghee,iit-kanpur__hall-11
sprouted grains milk withbournvita or horlicks,by hand,boiled_sprouts; milk_glass,,iit-kanpur__hall-2
sprouted oats sandwich bread cake size with 17 gram butter or 04 numbers of bread slices sandwich bread cake size with 17 gram butter or boiled egg 01 no or 8 5 gram butter,by hand,boiled_sprouts; oatmeal; bread_slice; amul_butter; boiled_egg,,sliet-longowal__hostel-mess
sprouts black chana,by rule,boiled_sprouts,sprouts or boiled pulses,sliet-longowal__hostel-mess
sprouts mong,by rule,boiled_sprouts,sprouts or boiled pulses,iiser-bhopal__dining-hall-3
sprouts raw,by rule,boiled_sprouts,sprouts or boiled pulses,iit-delhi__jwalamukhi-hostel
squash,by hand,(not counted),,iit-delhi__jwalamukhi-hostel
strawberry milkshake,by rule,milk_glass,a milk drink: a glass of milk,iit-bombay__hostel-3
stuffed kachori,by rule,poori,a deep-fried bread,iit-kanpur__hall-8
stuffed paranthas with 100 gram curd,by hand,aloo_paratha; plain_curd,,sliet-longowal__hostel-mess
sugar,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iit-madras__ccw-veg-menu iit-tirupati__central-mess-apr2024 sns-college-of-engineering__hostel-mess
suji halwa,by rule,moong_halwa,a halwa,gniot-greater-noida__hostel iiser-bhopal__dining-hall-3
sundal,by rule,boiled_sprouts,sprouts or boiled pulses,sns-college-of-engineering__hostel-mess
sunday,by rule,(not counted),"a heading, a label or a word left over from a split cell, not a dish",sliet-longowal__hostel-mess
sweet gulaabhaum veg,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iit-kanpur__hall-8
sweet lassi 150 200 ml mix veg 20 allo any fruit seasonal,by hand,dahi; mix_veg; fruit_portion,,iiser-bhopal__dining-hall-3
sweets,by hand,gulab_jamun,,iit-delhi__jwalamukhi-hostel
taarii poha sweet corn boiled egg bbj 2 slices cut fruits,by rule,boiled_egg,an egg,iit-dharwad__central-mess
tahari,by rule,veg_biryani,a vegetable biryani,iit-kanpur__hall-2
tamrind chutney lime onion,by rule,green_chutney,a chutney,iit-madras__ccw-veg-menu
tandoor chicken,by rule,(not counted),"meat and fish: the study solves vegetarian and egg diets, which never eat them",iit-kanpur__hall-8
tandoori roti nan aata,by rule,roti,a flatbread,iit-kanpur__hall-8
tandoori salad coconut burfi,by rule,gulab_jamun,an Indian sweet: gulab jamun stands in,iit-dharwad__central-mess
tea with sugar dissolved,by rule,tea,coffee and tea are made with milk in a mess: the catalog's tea stands in for both,sliet-longowal__hostel-mess
tebri,by hand,peas_pulao,,iit-kanpur__hall-8
tendli ki sabzi,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-madras__ccw-veg-menu
thepla,by rule,aloo_paratha,a paratha: the catalog's paratha stands in for all of them,iit-bombay__hostel-3
thesa chatni nimbou pani 150 ml,by hand,green_chutney,,iiser-bhopal__dining-hall-3
thesa chutney,by rule,green_chutney,a chutney,iiser-bhopal__dining-hall-3
thokadalu pappu,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-tirupati__central-mess-apr2024
tilla kulfi,by rule,fruit_custard,a milk dessert: fruit custard stands in,iit-delhi__jwalamukhi-hostel
tomato,by rule,salad,raw vegetables,iiser-bhopal__dining-hall-3 vnit-nagpur__aaswad-mess
tomato chatney,by rule,red_chutney,a red chutney,iit-kanpur__hall-11
tomato chutney,by rule,red_chutney,a red chutney,gniot-greater-noida__hostel iit-kanpur__hall-8 sns-college-of-engineering__hostel-mess vnit-nagpur__aaswad-mess
tomato curry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
tomato dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-madras__ccw-veg-menu iit-tirupati__central-mess-apr2024
tomato ketchup,by hand,(not counted),,iit-kanpur__hall-8
tomato onion chutney,by rule,red_chutney,a red chutney,iit-delhi__jwalamukhi-hostel
tomato rice,by rule,onion_rice,a flavoured rice: rice tempered in oil,iit-bombay__hostel-3
tomato santhagai,by hand,idli,,sns-college-of-engineering__hostel-mess
tomato sauce,by rule,(not counted),a condiment or garnish: served in amounts too small to move a nutrient,iit-delhi__jwalamukhi-hostel iit-madras__ccw-veg-menu
tomato thoviyal,by rule,green_chutney,a chutney,iit-madras__ccw-veg-menu
toor dal,by rule,toor_dal_tadka,toor dal,iit-bombay__hostel-3 iit-madras__ccw-veg-menu vnit-nagpur__aaswad-mess
torai masala,by rule,mix_veg,a vegetable dish: mix veg stands in,gniot-greater-noida__hostel iit-kanpur__hall-11
uday dal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,vnit-nagpur__aaswad-mess
uggani bajji,by rule,pakoda,a fritter,iit-tirupati__central-mess-apr2024
ulavacharu,by hand,rasam,,iit-tirupati__central-mess-apr2024
urad dal,by rule,dal_makhani,a black dal,iit-tirupati__central-mess-apr2024
vada pav,by hand,vada; bread_slice,,iit-bombay__hostel-3 iit-kanpur__hall-11
vada paw with green,by hand,vada; bread_slice; green_chutney,,gniot-greater-noida__hostel
vada sambhar,by hand,vada; sambhar,,gniot-greater-noida__hostel
vadagam,by rule,vada,a vada,sns-college-of-engineering__hostel-mess
vatha kuzhambu,by rule,rasam,a thin tamarind or pepper gravy,sns-college-of-engineering__hostel-mess
vazhakkai poriyal,by rule,mix_veg,a vegetable dish: mix veg stands in,sns-college-of-engineering__hostel-mess
veg biryani plain rice,by rule,veg_biryani,a vegetable biryani,iit-dharwad__central-mess
veg bryand raiata,by hand,veg_biryani; veg_raita,,iit-kanpur__hall-8
veg chicken stew with vegetables,by hand,mix_veg,,iit-kanpur__hall-8
veg chutney,by rule,green_chutney,a chutney,iit-dharwad__central-mess
veg dalia,by rule,upma,"upma, or a grain porridge made like it",iit-delhi__jwalamukhi-hostel
veg fried rice,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iit-dharwad__central-mess
veg jhalfreji,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-11
veg kabab pariata non veg kabil chicken,by hand,cutlet; aloo_paratha,,iit-kanpur__hall-8
veg khichadi,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,gniot-greater-noida__hostel
veg korma,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
veg kormaa aloo,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-dharwad__central-mess
veg kurma,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-bombay__hostel-3 iit-madras__ccw-veg-menu
veg manchurian methi malai matar daal,by rule,dal_tadka,a dal: the catalog's dal tadka stands in,iit-dharwad__central-mess
veg mix,by rule,mix_veg,a vegetable dish: mix veg stands in,vnit-nagpur__aaswad-mess
veg mix fry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-tirupati__central-mess-apr2024
veg puff,by rule,samosa,a samosa or a pastry like it,sns-college-of-engineering__hostel-mess
veg pulao,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iit-bombay__hostel-3
veg sandwich,by rule,bread_slice,"bread, however it is served",iiser-bhopal__dining-hall-3
vegetable briyani,by rule,mix_veg,a vegetable dish: mix veg stands in,sns-college-of-engineering__hostel-mess
vegetable curd raita,by rule,veg_raita,a raita: curd with a vegetable,iit-tirupati__central-mess-apr2024
vegetable cutlets,by rule,mix_veg,a vegetable dish: mix veg stands in,sliet-longowal__hostel-mess
vegetable fooshi curry,by rule,mix_veg,a vegetable dish: mix veg stands in,iit-kanpur__hall-8
vegetable khichdi,by rule,plain_rice; dal_mix,khichdi and pongal are rice cooked with dal,iit-kanpur__hall-11
vegetable kofta,by rule,veg_kofta,fried vegetable balls in gravy,gniot-greater-noida__hostel
vegetable pulao,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iit-madras__ccw-veg-menu
vegetable pulao alternate weeks,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iit-tirupati__central-mess-apr2024
vegetable pulav,by rule,peas_pulao,a pulao or fried rice: rice cooked with oil and a vegetable,iit-kanpur__hall-11
vegkhichadi,by hand,plain_rice; dal_mix,,gniot-greater-noida__hostel
veng manchurian,by rule,veg_kofta,fried vegetable balls in gravy,iit-tirupati__central-mess-apr2024
water melon,by rule,fruit_portion,a piece of fruit,iit-tirupati__central-mess-apr2024
wheat rava uppuma,by rule,upma,"upma, or a grain porridge made like it",sns-college-of-engineering__hostel-mess
wheat ravai uppuma,by rule,upma,"upma, or a grain porridge made like it",sns-college-of-engineering__hostel-mess
white 2 bananas,by hand,fruit_portion,,iiser-bhopal__dining-hall-3
white brown bread,by rule,bread_slice,"bread, however it is served",iit-delhi__jwalamukhi-hostel
white chana,by rule,chole,a chickpea curry,sliet-longowal__hostel-mess
white channa,by rule,chole,a chickpea curry,sliet-longowal__hostel-mess
white santhagi,by hand,idli,,sns-college-of-engineering__hostel-mess
